,a,i,u,e,o
#,62,183,37,65,121
b,29,17,15,10,22
by,0,0,0,0,0
ch,12,32,4,0,5
d,79,3,1,58,38
dy,0,0,0,0,0
f,1,1,16,1,4
g,57,11,10,19,11
gy,0,0,0,0,0
h,0,27,0,0,14
hy,0,0,0,0,1
j,9,27,2,0,2
k,107,112,67,38,71
ky,0,0,4,0,8
m,63,73,19,50,99
my,0,0,0,0,0
n,139,80,5,28,93
ny,0,0,0,0,0
p,10,4,6,0,5
py,0,0,2,0,0
r,111,63,76,48,21
ry,0,0,0,0,2
s,40,0,43,28,32
sh,5,82,1,0,12
t,109,9,0,94,99
ts,0,0,50,0,0
ty,0,0,0,0,0
v,0,0,2,0,0
w,88,1,0,0,0
y,16,0,24,0,57
z,8,0,22,13,5
cl,0,0,14,0,0
N,0,0,50,0,0
