,a,i,u,e,o
#,122,181,46,54,127
b,27,17,13,5,20
by,0,0,0,0,0
ch,14,46,2,1,5
d,85,2,0,55,50
dy,0,0,0,0,0
f,4,0,33,0,0
g,75,5,9,16,14
gy,0,0,2,0,0
h,0,41,0,0,19
hy,1,0,0,0,0
j,11,27,4,0,4
k,157,155,73,63,93
ky,1,0,3,0,4
m,63,91,27,64,99
my,0,0,1,0,0
n,185,74,2,29,126
ny,0,0,1,0,0
p,7,5,3,1,5
py,0,0,0,0,0
r,130,68,83,84,30
ry,0,0,1,0,5
s,40,0,54,52,53
sh,3,100,5,0,21
t,140,1,2,111,86
ts,0,0,66,0,0
ty,0,0,0,0,0
v,0,0,0,0,0
w,100,0,0,1,0
y,27,0,32,0,49
z,6,0,27,13,2
cl,0,0,20,0,0
N,0,0,46,0,0
