,a,i,u,e,o
#,62,224,37,67,141
b,43,25,14,35,10
by,0,0,0,0,0
ch,9,27,0,0,1
d,68,3,0,52,55
dy,0,0,0,0,0
f,3,14,12,0,0
g,105,6,10,11,3
gy,0,0,1,0,0
h,0,22,0,0,11
hy,0,0,0,0,0
j,13,33,4,0,5
k,117,121,78,47,98
ky,2,0,1,0,3
m,81,74,15,53,84
my,0,0,2,0,0
n,177,76,10,20,96
ny,0,0,0,0,0
p,11,5,4,0,5
py,0,0,1,0,0
r,116,67,79,51,30
ry,0,0,0,0,4
s,58,0,40,32,33
sh,2,87,3,0,22
t,112,1,1,130,116
ts,0,0,55,0,0
ty,0,0,0,0,0
v,0,0,0,0,0
w,104,2,0,1,0
y,25,0,29,0,50
z,10,0,27,17,3
cl,0,0,20,0,0
N,0,0,53,0,0
