,a,i,u,e,o
#,88,253,41,74,170
b,29,15,9,3,18
by,0,0,0,0,0
ch,11,40,2,1,4
d,73,3,1,73,55
dy,0,0,0,0,0
f,1,4,22,0,4
g,100,7,9,13,9
gy,0,0,0,0,0
h,0,33,0,0,12
hy,1,0,0,0,1
j,12,31,4,0,7
k,110,139,88,58,92
ky,2,0,5,0,4
m,74,76,22,61,126
my,0,0,3,0,0
n,153,95,4,37,141
ny,0,0,0,0,0
p,6,6,5,0,2
py,0,0,2,0,0
r,132,84,106,61,29
ry,0,0,1,0,3
s,51,0,37,33,40
sh,0,108,0,0,20
t,114,1,1,158,119
ts,0,0,65,0,0
ty,0,0,0,0,0
v,0,0,0,0,0
w,107,0,0,0,0
y,21,0,33,0,76
z,10,0,28,7,5
cl,0,0,19,0,0
N,0,0,68,0,0
