,a,i,u,e,o
#,6,25,9,8,28
b,4,0,2,0,0
by,0,0,0,0,0
ch,0,1,0,0,0
d,10,1,0,7,4
dy,0,0,0,0,0
f,0,0,0,0,0
g,7,0,0,1,0
gy,0,0,0,0,0
h,0,0,0,0,1
hy,0,0,0,0,0
j,0,2,0,0,0
k,3,0,6,8,7
ky,0,0,0,0,0
m,2,1,3,0,16
my,0,0,0,0,0
n,7,10,0,6,15
ny,0,0,0,0,0
p,1,0,0,0,0
py,0,0,0,0,0
r,13,6,28,6,3
ry,0,0,0,0,0
s,5,0,3,1,0
sh,0,1,0,0,1
t,20,0,0,20,19
ts,0,0,0,0,0
ty,0,0,0,0,0
v,0,0,1,0,0
w,11,0,0,0,0
y,0,0,0,0,15
z,0,0,0,1,0
cl,0,0,0,0,0
N,0,0,3,0,0
